background,x,y,green,BIO3,soc,sand,roads,BIO06,twi
background,473884.9838,4436176.1748,0.0966598987579346,38.0647277832031,24.2190914154053,35.9726829528809,147.610794067383,5.62588453292847,6.47040033340454
background,473884.9838,4436676.1748,0.0990443304181099,38.1035614013672,24.0395450592041,35.1591720581055,71.2472686767578,5.59416723251343,6.15137481689453
background,473884.9838,4439176.1748,0.12102210521698,37.1360778808594,27.8160495758057,33.0592231750488,537.996643066406,5.31923055648804,8.78478622436523
background,473934.9838,4434926.1748,0.101240389049053,38.0067863464355,22.1613826751709,38.4468612670898,191.685104370117,5.64563894271851,8.72607040405273
background,473934.9838,4437026.1748,0.11352302134037,37.6830787658691,23.1507186889648,32.2016487121582,120.284881591797,5.57927942276001,7.70192003250122
background,473934.9838,4439076.1748,0.130897834897041,37.0744438171387,28.4297962188721,32.7921104431152,457.147705078125,5.31799030303955,7.69227981567383
background,473984.9838,4432976.1748,0.0989266782999039,38.4876480102539,22.0084743499756,40.0718193054199,123.765022277832,5.44866132736206,7.80826234817505
background,473984.9838,4434526.1748,0.1172751262784,38.2958030700684,19.0868949890137,39.8100624084473,172.374160766602,5.65328359603882,8.04082870483398
background,473984.9838,4435926.1748,0.0904901996254921,38.1277160644531,25.9734191894531,37.7711639404297,131.780136108398,5.62359285354614,5.86984014511108
background,473984.9838,4439326.1748,0.120077706873417,37.151782989502,26.3994102478027,32.519645690918,537.958068847656,5.27553939819336,7.27078008651733
background,474134.9838,4433576.1748,0.100387886166573,38.3348388671875,21.8285427093506,40.3293380737305,3.60809850692749,5.45357370376587,7.75090742111206
background,474134.9838,4434176.1748,0.0972525328397751,38.4430541992188,20.59397315979,39.8262100219727,203.460983276367,5.64800357818604,7.58366918563843
background,474134.9838,4434426.1748,0.103972598910332,38.2629318237305,19.9390087127686,39.0733032226562,217.525314331055,5.65355110168457,7.86776113510132
background,474134.9838,4437126.1748,0.108974128961563,37.5286865234375,25.9000949859619,31.7134571075439,37.318244934082,5.56592082977295,10.3188219070435
background,474134.9838,4437526.1748,0.127368181943893,37.4021110534668,26.6657428741455,32.8067474365234,248.761291503906,5.75551557540894,7.88676023483276
background,474184.9838,4433376.1748,0.0952283442020416,38.2816467285156,21.047456741333,41.147632598877,56.8126487731934,5.44207143783569,7.17176008224487
background,474184.9838,4434826.1748,0.109166264533997,37.9919128417969,19.602668762207,38.7908515930176,316.372680664062,5.63614463806152,7.14306306838989
background,474184.9838,4438826.1748,0.12721298635006,37.047664642334,28.3157615661621,31.7678451538086,231.847137451172,5.3371205329895,9.08693790435791
background,474184.9838,4439126.1748,0.142419248819351,37.1154899597168,27.7945938110352,31.5983619689941,255.370529174805,5.29542446136475,9.72473239898682
background,474234.9838,4433226.1748,0.097465418279171,38.2875099182129,21.8449821472168,40.9667625427246,65.9248046875,5.438232421875,5.19200086593628
background,474234.9838,4439026.1748,0.138787060976028,37.0951652526855,27.8298969268799,31.6759738922119,157.345947265625,5.30113363265991,8.7078218460083
background,474284.9838,4436276.1748,0.117700234055519,38.2660636901855,22.7562503814697,36.5648651123047,51.1143493652344,5.58477735519409,7.69371366500854
background,474284.9838,4439976.1748,0.119990929961205,37.4206962585449,24.2970409393311,30.1384258270264,200.275741577148,5.13348913192749,7.95652914047241
background,474334.9838,4433276.1748,0.0920673906803131,38.7048797607422,21.8719940185547,40.919750213623,167.165466308594,5.43398809432983,5.51150131225586
background,474334.9838,4437876.1748,0.107770346105099,37.1505508422852,3.60145807266235,5.20210599899292,17.607213973999,5.49626350402832,8.47459030151367
background,474334.9838,4439326.1748,0.140242278575897,37.2641410827637,26.4170246124268,31.8585472106934,269.889343261719,5.21865510940552,12.1032619476318
background,474334.9838,4440026.1748,0.112980425357819,37.4253540039062,24.3415031433105,30.1590270996094,133.553802490234,5.10924482345581,8.36502838134766
background,474384.9838,4432476.1748,0.11248080432415,39.800220489502,21.4650363922119,39.259651184082,100.46044921875,5.38998746871948,5.42278003692627
background,474384.9838,4432776.1748,0.0934666097164154,38.5793952941895,23.3973617553711,38.9047355651855,134.896621704102,5.43062973022461,6.73906660079956
background,474384.9838,4436676.1748,0.0902606993913651,37.8157348632812,22.7045364379883,34.9373741149902,153.820755004883,5.55469942092896,7.75944185256958
background,474384.9838,4439076.1748,0.104091189801693,37.1254501342773,26.6001796722412,31.8161354064941,119.414649963379,5.27451658248901,10.1801328659058
background,474384.9838,4440076.1748,0.134188801050186,37.4378547668457,24.3121204376221,30.3923416137695,72.161003112793,5.08209276199341,8.76033115386963
background,474534.9838,4433976.1748,0.0984239727258682,38.4008140563965,22.1349468231201,40.0491218566895,16.0127010345459,5.59660720825195,8.42498111724854
background,474534.9838,4437326.1748,0.123598620295525,37.2672462463379,28.7188701629639,32.4613800048828,27.5267086029053,5.72868680953979,8.25433826446533
background,474534.9838,4439726.1748,0.10351274907589,37.4180526733398,26.1540756225586,30.2285976409912,318.220458984375,5.13555097579956,10.2146282196045
background,474584.9838,4434476.1748,0.0929121524095535,38.4270401000977,21.2535953521729,39.6037635803223,24.0399837493896,5.61103010177612,13.7800626754761
background,474584.9838,4435976.1748,0.0914416685700417,37.8898162841797,25.2469959259033,36.7285804748535,194.128463745117,5.57626438140869,8.17876720428467
background,474584.9838,4436976.1748,0.096405953168869,37.3883628845215,26.4096755981445,34.6201286315918,101.017578125,5.74203872680664,7.73366975784302
background,474584.9838,4437026.1748,0.0914663597941399,37.3800048828125,26.8593120574951,33.847354888916,126.916931152344,5.73363447189331,7.88288354873657
background,474584.9838,4439626.1748,0.101429387927055,37.416316986084,27.972599029541,30.6161155700684,233.614669799805,5.13603162765503,10.5500802993774
background,474634.9838,4432426.1748,0.116164043545723,40.1171112060547,20.6601848602295,39.3487167358398,121.545623779297,5.32292747497559,8.05377864837646
background,474634.9838,4432626.1748,0.110802575945854,40.2449035644531,20.8334331512451,39.1946334838867,10.8494443893433,5.30971527099609,9.69322204589844
background,474634.9838,4434376.1748,0.0952858254313469,38.4243698120117,21.6649322509766,40.1541061401367,72.2575302124023,5.61289167404175,9.02471828460693
background,474634.9838,4434776.1748,0.093903549015522,38.1564903259277,20.3581428527832,38.4154968261719,31.4427032470703,5.61565065383911,10.0831174850464
background,474634.9838,4438476.1748,0.113798327744007,36.8636741638184,28.7780323028564,32.1679039001465,317.185546875,5.37407875061035,6.43776798248291
