background,x,y,BIO03,green,BIO06,BIO15,wo,roads,soc,rivers
background,475484.9838,4431126.1748,38.8694686889648,0.101472832262516,5.39722919464111,53.4922256469727,1,203.388092041016,19.3374137878418,86.6128540039062
background,475484.9838,4432476.1748,38.8520126342773,0.0892551839351654,5.38398885726929,53.6733016967773,1,203.657180786133,24.4360237121582,142.656295776367
background,475484.9838,4441776.1748,37.1613883972168,0.138220906257629,4.44900703430176,53.551887512207,1,239.547439575195,26.1950168609619,663.531188964844
background,475534.9838,4434426.1748,38.5159492492676,0.117177300155163,5.3485803604126,53.8285827636719,1,162.841094970703,23.1792030334473,181.519958496094
background,475534.9838,4435826.1748,37.8493537902832,0.0966196581721306,5.50322198867798,53.6959190368652,1,28.01340675354,23.9326076507568,407.394897460938
background,475534.9838,4440826.1748,37.0000381469727,0.104124799370766,4.56361150741577,53.5525588989258,1,32.5470314025879,29.1311073303223,531.693664550781
background,475534.9838,4440876.1748,37.0070037841797,0.102899618446827,4.56026029586792,53.5529479980469,1,38.0922546386719,29.4249992370605,498.119506835938
background,475584.9838,4431326.1748,38.8460655212402,0.101414725184441,5.37798881530762,53.4931831359863,1,162.529174804688,18.2574138641357,137.005920410156
background,475584.9838,4433876.1748,39.0095672607422,0.0896397307515144,5.35193490982056,53.880428314209,1,191.795532226562,23.8560352325439,19.2991752624512
background,475584.9838,4439626.1748,37.3380241394043,0.0972222909331322,5.00786924362183,53.6025581359863,1,33.9343643188477,21.0388259887695,513.857727050781
background,475634.9838,4437576.1748,36.9851989746094,0.103767372667789,5.3619704246521,53.7362976074219,1,25.5920581817627,28.6816635131836,346.038757324219
background,475634.9838,4439176.1748,37.0385131835938,0.104431413114071,5.15154886245728,53.5819664001465,1,57.7346801757812,22.9644756317139,800.992980957031
background,475634.9838,4439976.1748,37.4882431030273,0.108916543424129,4.94023656845093,53.5967559814453,1,63.4929695129395,25.9220485687256,585.588623046875
background,475684.9838,4430126.1748,39.1701889038086,0.111229360103607,5.37526369094849,53.2629165649414,1,59.9620513916016,19.7237091064453,301.578460693359
background,475684.9838,4434776.1748,38.3081741333008,0.105234496295452,5.32917737960815,53.7865524291992,1,226.165267944336,21.5147285461426,31.2354259490967
background,475684.9838,4435626.1748,38.0365028381348,0.0905290469527245,5.5087947845459,53.6615829467773,1,91.4253540039062,23.5790519714355,308.935089111328
background,475684.9838,4436176.1748,37.5523529052734,0.0946910157799721,5.49728393554688,53.6681823730469,1,39.5627136230469,26.0792064666748,303.37353515625
background,475684.9838,4441526.1748,37.0745086669922,0.107574984431267,4.51464414596558,53.5291290283203,1,91.8599548339844,27.8804321289062,624.882446289062
background,475684.9838,4442226.1748,37.1746826171875,0.123279973864555,4.39239406585693,53.6733818054199,1,87.6969833374023,26.550989151001,1088.48046875
background,475734.9838,4430526.1748,40.0006561279297,0.11380472779274,5.3299732208252,53.6031608581543,1,301.220520019531,19.7163486480713,1.96605312824249
background,475734.9838,4431376.1748,39.4094734191895,0.132190003991127,5.35355472564697,53.685905456543,1,292.034790039062,18.5858058929443,28.5440673828125
background,475734.9838,4433126.1748,38.4337387084961,0.0954881086945534,5.37608814239502,53.6130905151367,1,132.878189086914,23.2401218414307,307.136779785156
background,475734.9838,4436376.1748,37.4536018371582,0.0931267142295837,5.47018671035767,53.6514129638672,1,15.9858541488647,24.7521133422852,330.244995117188
