background,x,y,roads,rivers,aspect,fla,slope,tpi,twi,soc,bkd,BIO03,BIO06,BIO15,ndwi2021,dndvi,wo
background,473984.9838,4433326.1748,12.1461133956909,476.566345214844,305.060363769531,1294.85974121094,1.36572229862213,0.284385144710541,8.65089321136475,21.3948631286621,1.27598643302917,38.2778053283691,5.44935464859009,53.9720497131348,-0.438803523778915,-0.00227414933033288,1
background,473984.9838,4434026.1748,252.703536987305,22.7366218566895,157.957168579102,834.482421875,15.1397466659546,-1.96219396591187,7.75903940200806,21.8186359405518,1.26585221290588,38.6729431152344,5.64004230499268,54.1601600646973,-0.472833633422852,0.0170047450810671,1
background,473984.9838,4435726.1748,80.7855606079102,227.535247802734,161.423797607422,343.008758544922,2.20122885704041,0.409342616796494,7.56430864334106,26.3483810424805,1.29582953453064,38.0833854675293,5.62324905395508,54.076057434082,-0.462615668773651,0.0171582959592342,1
background,473984.9838,4437626.1748,132.238174438477,439.024627685547,236.651824951172,1375.13037109375,5.0272650718689,0.346028417348862,7.0284218788147,26.999454498291,1.33094036579132,37.3178062438965,5.75841617584229,53.8702774047852,-0.450012683868408,0.0497862435877323,1
background,474034.9838,4433126.1748,13.8202800750732,569.9931640625,217.427307128906,1309.876953125,4.60006141662598,0.700007200241089,7.16002607345581,22.1748638153076,1.26647639274597,38.2793922424316,5.44676303863525,53.9399833679199,-0.341981381177902,0.00573832402005792,1
background,474034.9838,4433526.1748,12.3164987564087,417.182769775391,294.737274169922,1661.71398925781,3.19873642921448,0.396850615739822,7.62881708145142,21.9363098144531,1.28110635280609,38.3644676208496,5.45004367828369,54.0158004760742,-0.420661062002182,0.0133576234802604,1
background,474034.9838,4439526.1748,629.987487792969,203.92887878418,303.970275878906,3824.90234375,4.75352907180786,0.609044313430786,9.28623676300049,20.2293949127197,1.02849185466766,37.2819328308105,5.23383855819702,53.900562286377,-0.327903836965561,0.0471283160150051,1
background,474084.9838,4432876.1748,249.250076293945,534.186401367188,223.616363525391,3684.748046875,6.77638006210327,-0.176443845033646,7.69018745422363,22.6611194610596,1.26481878757477,38.5254364013672,5.44396591186523,53.9524726867676,-0.404008060693741,-0.012228456325829,1
background,474084.9838,4434776.1748,215.254821777344,471.98681640625,230.652084350586,2621.15234375,4.15447616577148,0.0521858036518097,7.74084091186523,19.5587825775146,1.31612837314606,38.0344429016113,5.64015865325928,54.0555152893066,-0.378747344017029,0.0314093381166458,1
background,474084.9838,4436876.1748,91.430046081543,86.3733291625977,274.019470214844,3359.45947265625,7.26999950408936,0.271617889404297,7.89578247070312,23.4084949493408,1.32007896900177,37.770206451416,5.57061290740967,54.009105682373,-0.361047148704529,0.0408821813762188,1
