x,y,Phytophthora_PA3_allRun logistic values
475984.9838,4429876.1748,0.0
475984.9838,4430976.1748,0.0
475984.9838,4431726.1748,0.0
475984.9838,4432876.1748,0.0
475984.9838,4434976.1748,0.0
475984.9838,4435526.1748,0.0
475984.9838,4436376.1748,0.0
475984.9838,4437576.1748,0.0
475984.9838,4439126.1748,0.0
475984.9838,4440326.1748,0.0
476034.9838,4429826.1748,0.0
476034.9838,4430276.1748,0.0
476034.9838,4431076.1748,0.0
476034.9838,4435126.1748,0.0
476034.9838,4442176.1748,0.0
476084.9838,4430176.1748,0.0
476084.9838,4431376.1748,0.0
476084.9838,4432076.1748,0.0
476084.9838,4432326.1748,0.0
476084.9838,4435926.1748,0.0
476084.9838,4436976.1748,0.0
476084.9838,4441376.1748,0.0
476134.9838,4432226.1748,0.0
476134.9838,4434176.1748,0.0
476134.9838,4437276.1748,0.0
476134.9838,4439026.1748,0.0
476134.9838,4439826.1748,0.0
476184.9838,4432276.1748,0.0
476184.9838,4432576.1748,0.0
476184.9838,4432926.1748,0.0
476184.9838,4434426.1748,0.0
476184.9838,4436876.1748,0.0
476184.9838,4437676.1748,0.0
476184.9838,4439426.1748,0.0
476184.9838,4441076.1748,0.0
476234.9838,4432376.1748,0.0
476234.9838,4433676.1748,0.0
476234.9838,4438426.1748,0.0
476234.9838,4439826.1748,0.0
476234.9838,4440876.1748,0.0
476234.9838,4441026.1748,0.0
476234.9838,4442276.1748,0.0
476284.9838,4430426.1748,0.0
476284.9838,4432076.1748,0.0
476284.9838,4432376.1748,0.0
476284.9838,4435826.1748,0.0
476284.9838,4437076.1748,0.0
476284.9838,4441626.1748,0.0
476334.9838,4430926.1748,0.0
476334.9838,4434526.1748,0.0
476334.9838,4436026.1748,0.0
476334.9838,4439976.1748,0.0
476384.9838,4429576.1748,0.0
476384.9838,4433176.1748,0.0
476384.9838,4434376.1748,0.0
476384.9838,4435176.1748,0.0
476384.9838,4437626.1748,0.0
476384.9838,4438526.1748,0.0
476384.9838,4439026.1748,0.0
476434.9838,4431326.1748,0.0
476434.9838,4431426.1748,0.0
476434.9838,4431526.1748,0.0
476434.9838,4435176.1748,0.0
476434.9838,4439426.1748,0.0
476484.9838,4434176.1748,0.0
476484.9838,4436226.1748,0.0
476484.9838,4441776.1748,0.0
476534.9838,4430176.1748,0.0
476534.9838,4432276.1748,0.0
476534.9838,4438776.1748,0.0
476534.9838,4441976.1748,0.0
476534.9838,4442076.1748,0.0
476534.9838,4442176.1748,0.0
476584.9838,4432176.1748,0.0
476584.9838,4434726.1748,0.0
476584.9838,4435326.1748,0.0
476584.9838,4436426.1748,0.0
476584.9838,4437526.1748,0.0
476584.9838,4439326.1748,0.0
476584.9838,4442026.1748,0.0
476634.9838,4431626.1748,0.0
476634.9838,4436576.1748,0.0
476684.9838,4430226.1748,0.0
476684.9838,4431376.1748,0.0
476684.9838,4433426.1748,0.0
476684.9838,4437776.1748,0.0
476684.9838,4441776.1748,0.0
476734.9838,4430676.1748,0.0
476734.9838,4430776.1748,0.0
476734.9838,4430926.1748,0.0
476734.9838,4433076.1748,0.0
476734.9838,4434526.1748,0.0
