background,x,y,green,BIO3,soc,sand,silt,roads,BIO06,twi
background,473734.9838,4435826.1748,0.090902216732502,38.1550636291504,25.2221164703369,37.7811012268066,37.484130859375,3.18733477592468,5.63347434997559,6.9609522819519
background,473734.9838,4436676.1748,0.0999297052621841,38.189525604248,24.5435256958008,35.2804718017578,42.0484733581543,216.033157348633,5.61059761047363,6.86780834197998
background,473734.9838,4439176.1748,0.0908617749810219,37.3420829772949,27.6673927307129,33.4770889282227,38.542724609375,677.752502441406,5.33472347259521,6.78088617324829
background,473784.9838,4434276.1748,0.0997807458043098,38.5517349243164,20.3339309692383,40.1577796936035,35.0436096191406,85.851936340332,5.65438222885132,9.64489269256592
background,473784.9838,4434826.1748,0.100712358951569,38.1598243713379,21.2868804931641,39.2705917358398,35.3340301513672,59.9130821228027,5.65152215957642,8.06970882415771
background,473784.9838,4434876.1748,0.112394213676453,38.0710105895996,21.6898307800293,38.9754295349121,35.3245735168457,102.613479614258,5.65121364593506,7.287841796875
background,473834.9838,4434276.1748,0.108357027173042,38.5054740905762,20.2181186676025,40.1256828308105,35.187328338623,54.3385429382324,5.65488529205322,9.72568130493164
background,473834.9838,4435476.1748,0.0921051204204559,37.7988700866699,25.7033386230469,38.6805763244629,36.8203315734863,95.4854888916016,5.65000772476196,6.99331998825073
background,473834.9838,4435926.1748,0.0876086875796318,38.1691703796387,25.7167854309082,37.6490097045898,38.4297904968262,128.413955688477,5.62978935241699,7.44720220565796
background,473834.9838,4437726.1748,0.106210805475712,37.480396270752,16.4396381378174,18.8257503509521,26.17653465271,120.178642272949,5.77236270904541,6.75755834579468
background,473884.9838,4433476.1748,0.0918128192424774,38.5025634765625,22.0987949371338,39.9343910217285,32.9399948120117,129.634857177734,5.50918436050415,7.75847196578979
background,473884.9838,4434026.1748,0.0977027118206024,38.58837890625,22.3070125579834,39.1140022277832,34.8876953125,232.729278564453,5.65245485305786,5.82303953170776
background,473884.9838,4434426.1748,0.115799620747566,38.3939895629883,18.8816070556641,40.176342010498,35.5,53.890926361084,5.66061544418335,9.32285499572754
background,473884.9838,4435426.1748,0.0982750058174133,37.9156150817871,26.4886341094971,38.910831451416,36.6701126098633,104.150993347168,5.64722156524658,6.6648736000061
background,473884.9838,4436176.1748,0.0966598987579346,38.0647277832031,24.2190914154053,35.9726829528809,42.0511817932129,147.610794067383,5.62588453292847,6.47040033340454
background,473934.9838,4433626.1748,0.103115990757942,38.624626159668,22.9346618652344,38.0484085083008,34.1849250793457,67.9530715942383,5.64887666702271,9.36431121826172
