background,x,y,BIO03,green,BIO06,fla,wo,roads,soc,rivers
background,475434.9838,4438476.1748,36.9916572570801,0.101345807313919,5.23390054702759,1614.80578613281,1,8.09614562988281,26.902904510498,676.708923339844
background,475434.9838,4440526.1748,37.2201766967773,0.101262904703617,4.56988859176636,1333.900390625,1,17.4845123291016,28.0105304718018,529.693420410156
background,475534.9838,4432626.1748,38.5639114379883,0.102004177868366,5.38648843765259,1297.22924804688,1,357.111358642578,23.8434257507324,243.815032958984
background,475534.9838,4434126.1748,38.6004295349121,0.109902203083038,5.36220550537109,1637.56665039062,1,285.083679199219,23.5965881347656,198.301071166992
background,475534.9838,4437976.1748,37.0002021789551,0.108690746128559,5.34113693237305,280.8447265625,1,159.933822631836,30.6221733093262,255.767883300781
background,475534.9838,4438226.1748,37.0660209655762,0.111127935349941,5.27070093154907,4205.11083984375,1,22.5010623931885,30.3429660797119,412.341552734375
background,475534.9838,4441026.1748,37.1206245422363,0.0938348844647408,4.55408477783203,1043.94738769531,1,71.4246368408203,29.5449981689453,417.609436035156
background,475534.9838,4441926.1748,37.1699981689453,0.154825255274773,4.42629194259644,1591.36389160156,1,111.466690063477,26.6015491485596,783.709350585938
background,475584.9838,4436376.1748,37.4915199279785,0.0918018743395805,5.48009920120239,1392.9716796875,1,82.4318313598633,24.864200592041,261.46337890625
background,475584.9838,4438326.1748,37.108470916748,0.0961927846074104,5.23774385452271,2933.50024414062,1,14.3904914855957,30.4751033782959,474.57177734375
background,475584.9838,4440276.1748,37.6247367858887,0.125060752034187,4.86188697814941,14545.26953125,1,91.486328125,26.6116390228271,713.355285644531
background,475584.9838,4440376.1748,37.7111778259277,0.123603299260139,4.81102180480957,7637.07666015625,1,69.643684387207,26.5776176452637,735.288818359375
background,475634.9838,4434176.1748,38.6089859008789,0.104546524584293,5.35714960098267,728.788757324219,1,242.836410522461,23.864953994751,145.260940551758
background,475634.9838,4435176.1748,38.0986480712891,0.0890310108661652,5.53260135650635,9196.8818359375,1,61.7399597167969,23.062816619873,327.361968994141
background,475634.9838,4442326.1748,37.1519355773926,0.101942926645279,4.39481067657471,984.73193359375,1,199.186889648438,28.6647911071777,1121.82788085938
background,475684.9838,4438826.1748,37.0072135925293,0.0911510437726974,5.17667293548584,1839.47534179688,1,43.326171875,22.7095756530762,938.687377929688
background,475684.9838,4439276.1748,37.0630798339844,0.10034454613924,5.13373708724976,312.082916259766,1,14.3803644180298,22.2903747558594,768.953918457031
background,475684.9838,4440976.1748,37.0030212402344,0.0999816283583641,4.54338836669922,719.873779296875,1,139.534362792969,28.1594924926758,575.156066894531
background,475734.9838,4436276.1748,37.532039642334,0.0922273024916649,5.47510766983032,840.195495605469,1,72.8881301879883,25.3859729766846,276.842956542969
background,475734.9838,4437476.1748,37.0380897521973,0.111418068408966,5.36228847503662,5191.943359375,1,55.367431640625,28.7644443511963,401.923828125
