background,x,y,roads,rivers,aspect,fla,slope,tpi,twi,soc,bkd,BIO03,BIO06,BIO15,ndwi2021,dndvi,wo
background,473884.9838,4435726.1748,46.958797454834,253.246368408203,261.195831298828,671.609191894531,2.04475736618042,0.16832047700882,7.27341508865356,25.9255084991455,1.30135440826416,37.9316673278809,5.62986326217651,54.0923843383789,-0.415976732969284,0.0192352905869484,1
background,473884.9838,4436726.1748,61.0696487426758,37.8849716186523,287.351470947266,3922.66552734375,9.7601318359375,-2.49560594558716,8.50353813171387,23.8787136077881,1.31428468227386,38.1476058959961,5.58215188980103,54.1477470397949,-0.421257853507996,0.057887926697731,1
background,473884.9838,4437326.1748,51.8088569641113,332.941925048828,250.741119384766,6979.54345703125,5.62949514389038,-0.526750087738037,8.36200428009033,23.493371963501,1.34429705142975,37.3876953125,5.5586462020874,53.9572830200195,-0.393839716911316,0.033253900706768,1
background,473934.9838,4432826.1748,175.345260620117,579.947814941406,214.479934692383,1846.46215820312,6.90912532806396,-0.857854068279266,6.99299907684326,21.4531764984131,1.28209745883942,38.7537689208984,5.45795488357544,54.0443153381348,-0.439414322376251,-0.0105777317658067,1
background,473934.9838,4434976.1748,230.279754638672,277.414642333984,253.478073120117,1813.50012207031,1.60447478294373,-0.0688972547650337,8.60767650604248,23.4757804870605,1.28668439388275,37.9911689758301,5.64637613296509,53.9731521606445,-0.4070645570755,0.0168405156582594,1
background,473934.9838,4435026.1748,196.301391601562,231.580108642578,276.251159667969,2388.10424804688,1.55730962753296,-0.0853191688656807,8.9828052520752,24.7901763916016,1.28524470329285,37.9788780212402,5.64678192138672,53.9415550231934,-0.423626452684402,0.0129937808960676,1
background,473934.9838,4437576.1748,62.7015914916992,439.799041748047,220.529815673828,2009.45727539062,4.38517093658447,-0.0453667566180229,7.53324031829834,27.1129398345947,1.33583676815033,37.3487243652344,5.72313261032104,53.9041709899902,-0.376286566257477,0.0415702536702156,1
background,473984.9838,4435776.1748,130.512741088867,267.437652587891,224.896820068359,128.053497314453,0.190117314457893,0.284877210855484,9.8345365524292,26.4355869293213,1.29534900188446,38.0893707275391,5.62380790710449,54.0713424682617,-0.452053248882294,0.0194451063871384,1
background,473984.9838,4437076.1748,104.606018066406,116.708847045898,178.034774780273,2084.12866210938,5.68687343597412,0.157280072569847,7.59381771087646,23.6637477874756,1.32708036899567,37.6169853210449,5.5762505531311,53.9948348999023,-0.427055388689041,0.0367846414446831,1
background,473984.9838,4439326.1748,537.958068847656,298.984069824219,294.886077880859,579.89453125,2.11386871337891,0.258573025465012,7.27078008651733,26.3994102478027,1.32601022720337,37.1517791748047,5.27553796768188,53.8873863220215,-0.391044557094574,0.0737393498420715,1
