background,x,y,green,BIO3,soc,sand,silt,roads,BIO06,rivers
background,475834.9838,4432676.1748,0.104820936918259,39.083381652832,23.7622203826904,41.423770904541,35.2818946838379,201.283660888672,5.36441898345947,111.387283325195
background,475934.9838,4433826.1748,0.102040365338326,38.2783126831055,23.4665508270264,41.3631820678711,33.6371765136719,8.79411125183105,5.34274625778198,289.121978759766
background,475934.9838,4436976.1748,0.0907774344086647,37.2005195617676,29.8579711914062,33.7475318908691,39.1713256835938,169.629943847656,5.41063499450684,468.687683105469
background,475984.9838,4433376.1748,0.0980878621339798,38.3897438049316,22.7853565216064,41.1449508666992,33.5408554077148,211.89680480957,5.34156036376953,495.557281494141
background,476034.9838,4430676.1748,0.115627624094486,40.067325592041,19.4805221557617,39.2066612243652,38.521915435791,275.329132080078,5.29892158508301,84.9443435668945
background,476134.9838,4440576.1748,0.122627876698971,37.3774452209473,28.8486938476562,28.875602722168,43.6148719787598,34.6960601806641,4.54942989349365,1040.6689453125
background,476234.9838,4436126.1748,0.10456795245409,37.7258720397949,26.1365699768066,36.463005065918,40.3065910339355,77.8391647338867,5.45827436447144,229.230545043945
background,476534.9838,4436326.1748,0.0982406362891197,37.8897361755371,27.1737537384033,37.3944702148438,37.3741683959961,166.578689575195,5.42961597442627,175.377105712891
background,476684.9838,4434726.1748,0.101075895130634,38.0903778076172,22.3852214813232,39.2701644897461,35.6116180419922,53.6139831542969,5.23343944549561,216.053497314453
background,476734.9838,4434176.1748,0.111095063388348,38.4553146362305,20.7202491760254,39.1409034729004,35.4081764221191,63.3361854553223,5.26899719238281,104.960296630859
background,476834.9838,4434026.1748,0.127913162112236,38.4975700378418,20.8267021179199,40.4370346069336,35.4347686767578,55.2218894958496,5.26652240753174,114.692398071289
background,476934.9838,4439476.1748,0.0956565961241722,37.7448616027832,24.1759128570557,29.8494129180908,43.2010040283203,21.4594993591309,4.88678598403931,28.636697769165
background,477084.9838,4430026.1748,0.117472663521767,40.8727874755859,20.0266227722168,38.9402694702148,36.5033187866211,190.676605224609,5.19720602035522,420.419342041016
background,477184.9838,4433226.1748,0.0997544825077057,38.6665802001953,23.9768371582031,41.7849807739258,34.3529663085938,231.465408325195,5.31012964248657,3.9576735496521
background,477384.9838,4432326.1748,0.110623553395271,38.611644744873,23.2584476470947,40.7510147094727,34.7494812011719,78.9166641235352,5.32613563537598,246.109039306641
background,477484.9838,4431876.1748,0.113060384988785,39.3535995483398,20.0210876464844,38.7534484863281,38.4832878112793,220.700073242188,5.3116888999939,133.905227661133
background,477584.9838,4430226.1748,0.115359045565128,41.451244354248,20.0120964050293,39.0854415893555,37.7100601196289,193.861251831055,5.09000205993652,4.93095016479492
background,477784.9838,4434476.1748,0.110117897391319,38.4229354858398,23.0773448944092,38.968433380127,36.059814453125,101.184837341309,5.20560741424561,114.284858703613
background,477884.9838,4442076.1748,0.0976430624723434,38.0517082214355,5.75201416015625,5.43329334259033,8.34477138519287,9.60263156890869,3.9095025062561,185.994400024414
background,477934.9838,4437376.1748,0.119405522942543,37.9712867736816,23.3928623199463,37.2057838439941,34.2632255554199,45.6799278259277,5.23410367965698,231.212127685547
background,478134.9838,4436376.1748,0.0951319858431816,37.692195892334,26.1375312805176,38.582935333252,36.8955688476562,218.697769165039,5.05164957046509,677.187377929688
background,478284.9838,4433776.1748,0.103477217257023,37.7069396972656,22.500467300415,39.6291389465332,35.4337348937988,366.792205810547,5.24796533584595,394.375091552734
background,478334.9838,4438726.1748,0.105853207409382,38.0891304016113,24.0025253295898,36.3004112243652,37.3319396972656,8.04875755310059,4.98751354217529,151.128234863281
background,478434.9838,4432476.1748,0.126553386449814,39.7176551818848,19.4818019866943,36.6417694091797,37.4984474182129,131.574157714844,5.28036499023438,184.595733642578
background,478734.9838,4434276.1748,0.0992950350046158,38.0456275939941,25.2202053070068,38.7807121276855,34.7125968933105,169.448654174805,5.16231727600098,90.4655303955078
background,478734.9838,4434676.1748,0.0952964648604393,37.9162826538086,22.8640689849854,38.0291481018066,36.1893196105957,119.00431060791,5.14013767242432,392.268798828125
background,478734.9838,4437576.1748,0.0991776660084724,37.9533843994141,25.1139698028564,39.1840934753418,34.4362411499023,41.7407035827637,4.90634632110596,131.237106323242
background,478834.9838,4430226.1748,0.0969172939658165,39.9762535095215,22.0719013214111,40.0686874389648,35.7178039550781,225.793334960938,5.23518514633179,369.243835449219
background,478834.9838,4434076.1748,0.112099073827267,37.844539642334,23.7384033203125,39.3023300170898,34.2101135253906,8.64360046386719,5.22743225097656,98.2126388549805
background,478934.9838,4432776.1748,0.115146867930889,39.4879608154297,21.7462558746338,36.0958099365234,38.0968437194824,113.442626953125,5.28149557113647,78.2304840087891
