background,x,y,green,BIO03,BIO06,wo,rivers,fla,soc,roads
background,473934.9838,4437776.1748,0.107865527272224,37.4558181762695,5.75235033035278,1,581.937316894531,692.133483886719,14.2064971923828,195.59098815918
background,474034.9838,4435926.1748,0.0911964550614357,38.0961265563965,5.62197542190552,1,132.407516479492,293.184387207031,26.0110702514648,96.7846450805664
background,474034.9838,4437526.1748,0.118043139576912,37.415168762207,5.75783348083496,1,333.008209228516,2767.92431640625,26.5811882019043,149.008117675781
background,474084.9838,4435876.1748,0.0946635603904724,38.069263458252,5.62083768844604,1,198.693817138672,1163.38598632812,26.868688583374,53.6340065002441
background,474084.9838,4437276.1748,0.0985744073987007,37.3342895507812,5.5405969619751,1,134.782012939453,3197.50439453125,26.7242984771729,194.963134765625
background,474134.9838,4433326.1748,0.102592833340168,38.2333717346191,5.44314241409302,1,621.507629394531,812.090454101562,21.1395721435547,93.3907318115234
background,474134.9838,4437326.1748,0.0986138135194778,37.358757019043,5.65904998779297,1,124.642868041992,2759.92456054688,27.983419418335,220.539184570312
background,474184.9838,4434076.1748,0.092693105340004,38.6813545227051,5.62932777404785,1,11.8109664916992,1720.76586914062,20.9780044555664,246.450393676758
background,474184.9838,4436976.1748,0.111016198992729,37.6008605957031,5.56578016281128,1,107.278923034668,5254.10693359375,24.5849018096924,117.325218200684
background,474284.9838,4433626.1748,0.0934496968984604,38.4003219604492,5.43986654281616,1,434.282745361328,1252.94689941406,21.269681930542,7.06515026092529
background,474284.9838,4435126.1748,0.1054333075881,37.8499870300293,5.63564825057983,1,438.115600585938,885.854675292969,24.4898929595947,26.9758358001709
background,474284.9838,4435826.1748,0.0998126342892647,37.9747886657715,5.61303234100342,1,236.689880371094,1644.29736328125,26.8384819030762,25.5592250823975
background,474284.9838,4438976.1748,0.123380184173584,37.0940246582031,5.29990243911743,1,665.085754394531,790.090515136719,27.8418788909912,93.3357391357422
background,474284.9838,4439926.1748,0.118614047765732,37.3775291442871,5.14676284790039,1,124.454627990723,4336.74609375,24.2530460357666,245.084884643555
background,474334.9838,4432726.1748,0.0889741107821465,38.5243873596191,5.43291759490967,1,286.175201416016,1068.68872070312,22.7131156921387,179.979034423828
background,474334.9838,4434226.1748,0.100560791790485,38.6026268005371,5.63390588760376,1,34.093879699707,4450.8623046875,20.8271465301514,167.80256652832
background,474384.9838,4433726.1748,0.100530982017517,38.3303070068359,5.43716049194336,1,352.458374023438,2125.240234375,21.1318778991699,97.7094116210938
background,474384.9838,4434676.1748,0.114657089114189,38.2081527709961,5.62272500991821,1,216.779968261719,2272.61157226562,20.0679931640625,170.293472290039
background,474384.9838,4437776.1748,0.104444079101086,37.1331672668457,5.51774263381958,1,450.67822265625,1790.62646484375,11.4152498245239,15.6963977813721
background,474384.9838,4439676.1748,0.114982910454273,37.4168319702148,5.15731525421143,1,30.03515625,15356.697265625,27.5696411132812,439.746917724609
background,474384.9838,4439976.1748,0.107182577252388,37.3823127746582,5.11436557769775,1,209.849502563477,2424.95532226562,24.1808738708496,171.699371337891
background,474384.9838,4440326.1748,0.0899106413125992,37.6523017883301,5.00079488754272,1,43.163330078125,1192.88708496094,23.4297142028809,152.065719604492
background,474434.9838,4435976.1748,0.0844217911362648,38.0641899108887,5.59328079223633,1,36.5182304382324,6827.07568359375,25.1285629272461,142.370727539062
background,474484.9838,4433376.1748,0.115110814571381,39.1703987121582,5.41412925720215,1,334.031402587891,1611.70751953125,21.7625331878662,222.396240234375
background,474484.9838,4436626.1748,0.0963278412818909,37.9134941101074,5.55021142959595,1,488.394897460938,3137.71484375,23.5045375823975,177.87873840332
background,474484.9838,4437726.1748,0.0942728072404861,37.0388946533203,5.45149707794189,1,431.325103759766,1480.08630371094,21.1826267242432,76.1611557006836
background,474534.9838,4434726.1748,0.119295470416546,38.234001159668,5.61613607406616,1,137.289352416992,6729.12451171875,20.3473472595215,78.3339080810547
background,474534.9838,4439326.1748,0.109897196292877,37.2603187561035,5.20324516296387,1,346.2255859375,5315.28125,26.0930309295654,112.573379516602
background,474584.9838,4433676.1748,0.0930021405220032,38.5707511901855,5.42627429962158,1,393.710662841797,681.71728515625,22.0828380584717,279.835998535156
background,474584.9838,4440176.1748,0.15169695019722,37.5225486755371,5.00257062911987,1,275.933624267578,1581.47448730469,22.1630878448486,23.4272384643555
background,474634.9838,4434026.1748,0.104626573622227,38.3146591186523,5.58573436737061,1,305.028015136719,3505.83276367188,22.7078704833984,17.5356159210205
