presence,id,left,top,right,bottom,row_index,col_index,y,x
1,42972,480959.9838,4432501.1748,481009.9838,4432451.1748,200,159,4432476.032822768,481006.88058219757
1,43256,481009.9838,4431751.1748,481059.9838,4431701.1748,215,160,4431729.599700997,481018.4563075403
1,45094,481359.9838,4434001.1748,481409.9838,4433951.1748,170,167,4433998.868198582,481376.51791544474
1,45361,481409.9838,4434101.1748,481459.9838,4434051.1748,168,168,4434060.128238418,481440.066925949
1,45631,481459.9838,4434051.1748,481509.9838,4434001.1748,169,169,4434047.07547029,481482.53785365005
1,46171,481559.9838,4433951.1748,481609.9838,4433901.1748,171,171,4433922.887523106,481584.0160228107
1,46172,481559.9838,4433901.1748,481609.9838,4433851.1748,172,171,4433897.947561405,481570.30887939944
1,53433,482909.9838,4434001.1748,482959.9838,4433951.1748,170,198,4433965.779414495,482944.33077314484
1,53702,482959.9838,4434001.1748,483009.9838,4433951.1748,170,199,4433989.271418029,483001.9389392441
1,54224,483059.9838,4434801.1748,483109.9838,4434751.1748,154,201,4434799.1426190315,483105.8186535417
