background,x,y,BIO03,green,BIO06,wo,roads,soc,rivers
background,474534.9838,4435626.1748,37.9343490600586,0.0948483645915985,5.60159587860107,1,40.9056816101074,24.8928184509277,266.514038085938
background,474584.9838,4433126.1748,39.8811721801758,0.0920519605278969,5.35266923904419,1,184.222152709961,21.6935443878174,154.219512939453
background,474584.9838,4440176.1748,37.5225486755371,0.15169695019722,5.00257062911987,1,23.4272384643555,22.1630878448486,275.933624267578
background,474634.9838,4436126.1748,37.7075805664062,0.0967607423663139,5.57383728027344,1,281.296966552734,25.103120803833,182.392791748047
background,474634.9838,4437426.1748,37.2002830505371,0.122676678001881,5.7140965461731,1,19.2859935760498,29.0059967041016,337.882354736328
background,474634.9838,4438876.1748,37.0210762023926,0.0922030881047249,5.2722110748291,1,19.8166999816895,26.2090396881104,800.079956054688
background,474634.9838,4440776.1748,37.272029876709,0.0987666994333267,4.63899421691895,1,93.2522964477539,26.7524452209473,202.639373779297
background,474684.9838,4435126.1748,37.9161911010742,0.102694295346737,5.60501861572266,1,3.71683621406555,23.2001094818115,535.6611328125
background,474734.9838,4434876.1748,38.0567893981934,0.0930732041597366,5.61466026306152,1,153.464172363281,20.309944152832,313.497833251953
background,474734.9838,4436576.1748,37.4943771362305,0.0908970013260841,5.53497409820557,1,203.998657226562,25.1046466827393,472.473785400391
background,474734.9838,4438176.1748,36.8132209777832,0.110041446983814,5.39292526245117,1,115.330924987793,27.1941909790039,735.22314453125
background,474734.9838,4438626.1748,37.130199432373,0.0981768146157265,5.31524801254272,1,150.920654296875,28.2666320800781,1061.48095703125
background,474784.9838,4433976.1748,38.1392440795898,0.0966828539967537,5.41176509857178,1,112.078514099121,22.5025882720947,426.000335693359
background,474834.9838,4432526.1748,40.1555252075195,0.10195230692625,5.31452417373657,1,92.9235229492188,21.2600765228271,166.507583618164
background,474834.9838,4434226.1748,38.3270263671875,0.0969643741846085,5.56562566757202,1,61.503173828125,21.7519416809082,354.563659667969
background,474834.9838,4435676.1748,37.8756294250488,0.108542293310165,5.58198165893555,1,67.5108337402344,23.3264331817627,187.247116088867
background,474834.9838,4439426.1748,37.2216186523438,0.100101724267006,5.15094137191772,1,45.6576919555664,27.1786880493164,337.646575927734
background,474834.9838,4440276.1748,37.4643325805664,0.106551289558411,4.98193597793579,1,99.7894134521484,21.7597999572754,316.519439697266
