background,x,y,roads,rivers,aspect,fla,slope,tpi,twi,soc,texture,bkd,BIO03,BIO06,BIO15,green,wo
background,474084.9838,4433976.1748,266.676025390625,79.5339202880859,327.969543457031,2841.28930664062,11.9170722961426,-2.25407195091248,7.46325159072876,21.5438575744629,6.80566549301147,1.26289653778076,38.6861419677734,5.63479518890381,54.1401901245117,0.0839477777481079,1
background,474134.9838,4436676.1748,38.9305152893066,252.938201904297,204.327621459961,1076.80773925781,3.84931063652039,0.314768999814987,7.26232767105103,22.2229290008545,4,1.31975483894348,37.7998161315918,5.56797122955322,54.023136138916,0.103788532316685,1
background,474134.9838,4437426.1748,214.323928833008,191.621215820312,223.537704467773,2809.50634765625,3.66060352325439,0.163693502545357,8.04464340209961,27.8737945556641,4.70937919616699,1.34755373001099,37.4438400268555,5.75700569152832,53.8668823242188,0.110293507575989,1
background,474184.9838,4434476.1748,195.694244384766,300.391143798828,183.018020629883,1718.67663574219,2.05744934082031,0.0567690394818783,8.40172863006592,19.8945789337158,4.92279291152954,1.2779985666275,38.2465362548828,5.64489126205444,54.046989440918,0.118123188614845,1
background,474184.9838,4439626.1748,560.748657226562,163.079162597656,306.591339111328,1580.93688964844,2.97609496116638,1.02583742141724,7.6718578338623,25.9083194732666,6.27286195755005,1.30973839759827,37.2825508117676,5.20983982086182,53.8699493408203,0.0941437035799026,1
background,474234.9838,4433576.1748,72.7942810058594,479.656097412109,175.271896362305,319.682189941406,1.86546742916107,0.355387985706329,6.67468547821045,21.4569702148438,5.39018964767456,1.28109383583069,38.3670959472656,5.44169282913208,53.9773101806641,0.0884026363492012,1
background,474234.9838,4436476.1748,161.196441650391,292.739166259766,100.635139465332,1300.99426269531,7.77863454818726,-0.634290099143982,6.70598077774048,22.7272510528564,4,1.30880916118622,37.91357421875,5.59200572967529,54.0296020507812,0.097723662853241,1
background,474284.9838,4435676.1748,83.9456939697266,338.326904296875,262.892059326172,1868.40295410156,3.33784461021423,0.135644555091858,8.00570487976074,26.9320659637451,7,1.27769458293915,37.9769515991211,5.61163806915283,53.9838104248047,0.106231451034546,1
background,474284.9838,4435926.1748,12.8479499816895,154.456329345703,257.309478759766,1388.24658203125,3.21686315536499,0.841980874538422,7.82753276824951,25.9523696899414,6.60701751708984,1.2958117723465,38.0144805908203,5.61264991760254,54.0032958984375,0.101822525262833,1
background,474284.9838,4437526.1748,186.805526733398,196.172256469727,208.854278564453,2992.40991210938,3.40821123123169,0.11539563536644,8.08303928375244,27.2713813781738,6.57299852371216,1.33755373954773,37.3377685546875,5.74263191223145,53.8202590942383,0.12230022251606,1
background,474334.9838,4433676.1748,51.1650581359863,389.348785400391,171.062194824219,1627.00463867188,1.13957560062408,0.417851746082306,8.91962909698486,21.1186084747314,6.10229873657227,1.27795302867889,38.3659439086914,5.43862247467041,53.9736480712891,0.0989548340439796,1
background,474334.9838,4434126.1748,211.713226318359,3.90340185165405,196.202743530273,11020.6494140625,9.76538562774658,-2.34220719337463,10.9437437057495,21.0335502624512,6.98590230941772,1.26672732830048,38.788501739502,5.62532043457031,54.0894432067871,0.0957722887396812,1
background,474384.9838,4432476.1748,100.46044921875,60.1397666931152,176.79020690918,865.744567871094,18.8893127441406,1.12995934486389,5.42278003692627,21.4650363922119,4,1.31739294528961,39.7999534606934,5.38999557495117,54.1769027709961,0.11248080432415,1
