x,y,Phytophthora_PA3_RUN2 logistic values
474734.9838,4432826.1748,0.500298
474734.9838,4436276.1748,0.06869025
474734.9838,4438226.1748,0.03237861
474734.9838,4438876.1748,0.006359843
474734.9838,4440176.1748,0.0073396466
474784.9838,4433376.1748,0.8250212
474784.9838,4433626.1748,0.54376763
474784.9838,4437026.1748,0.037021678
474784.9838,4438476.1748,0.004001205
474784.9838,4439476.1748,0.0033900484
474834.9838,4432376.1748,0.18555847
474834.9838,4433826.1748,0.5224654
474834.9838,4436576.1748,0.037222903
474834.9838,4437376.1748,0.018866872
474834.9838,4438676.1748,0.014575347
474834.9838,4439126.1748,0.0027856596
474884.9838,4434126.1748,0.45931175
474884.9838,4434826.1748,0.25423044
474884.9838,4435876.1748,0.07099008
474884.9838,4439726.1748,0.0038251658
474934.9838,4434026.1748,0.4885391
474984.9838,4432226.1748,0.47064084
474984.9838,4435826.1748,0.06030756
474984.9838,4436226.1748,0.04303771
474984.9838,4437276.1748,0.014875011
474984.9838,4437726.1748,0.038765337
474984.9838,4438626.1748,0.01158714
475034.9838,4432826.1748,0.52732146
475034.9838,4436176.1748,0.038776543
475034.9838,4438626.1748,0.011619993
475034.9838,4440976.1748,0.0033474641
475084.9838,4432776.1748,0.55714285
475084.9838,4437526.1748,0.095979735
475084.9838,4437826.1748,0.03380304
475084.9838,4438426.1748,0.0072506946
475084.9838,4438576.1748,0.014092053
475084.9838,4439576.1748,0.00208469
475084.9838,4441876.1748,1.6861182E-5
475134.9838,4432476.1748,0.45007703
475134.9838,4434276.1748,0.39529
475134.9838,4436526.1748,0.07050837
475134.9838,4440726.1748,0.0017631638
475134.9838,4441126.1748,0.004179612
475134.9838,4441176.1748,0.0053912294
475134.9838,4441326.1748,6.891365E-4
475134.9838,4441526.1748,4.926351E-4
475184.9838,4432476.1748,0.4184625
475184.9838,4433476.1748,0.5114977
475184.9838,4433676.1748,0.71508235
475184.9838,4433976.1748,0.41430598
475184.9838,4434826.1748,0.38795486
475184.9838,4435626.1748,0.11802767
475184.9838,4435826.1748,0.039232623
475184.9838,4441376.1748,0.0023550189
475234.9838,4433376.1748,0.46820846
475234.9838,4437776.1748,0.020871142
475234.9838,4438326.1748,0.020290697
475284.9838,4431026.1748,0.13661355
475284.9838,4432576.1748,0.29833615
475284.9838,4436826.1748,0.036214028
475284.9838,4437676.1748,0.028895697
475284.9838,4438226.1748,0.01259288
475284.9838,4438526.1748,0.0093412455
475284.9838,4441376.1748,1.3404526E-4
475334.9838,4434126.1748,0.62594235
475334.9838,4434776.1748,0.39037657
475334.9838,4435076.1748,0.30894634
475334.9838,4436926.1748,0.044185378
475334.9838,4437226.1748,0.011794689
475334.9838,4440976.1748,0.0036890756
475384.9838,4430526.1748,0.38322645
475384.9838,4433876.1748,0.23391734
475384.9838,4439876.1748,0.004370471
475384.9838,4441476.1748,0.0019105378
475434.9838,4430426.1748,0.24560831
475434.9838,4431226.1748,0.63735193
475434.9838,4435176.1748,0.25728193
475434.9838,4440876.1748,0.0020119722
475484.9838,4430326.1748,0.48711205
475484.9838,4431076.1748,0.527619
475484.9838,4436626.1748,0.0012240073
475484.9838,4436976.1748,0.041850414
475484.9838,4438776.1748,0.0022369046
475534.9838,4434576.1748,0.37495446
475534.9838,4438476.1748,0.013258837
475534.9838,4438576.1748,0.006709609
475534.9838,4438626.1748,0.0048309104
475534.9838,4439726.1748,0.0026620063
475534.9838,4440826.1748,0.003237058
475584.9838,4435776.1748,0.060153548
475584.9838,4436026.1748,0.03694837
475634.9838,4430126.1748,0.61042655
475634.9838,4431426.1748,0.45335755
475634.9838,4432276.1748,0.1238509
475634.9838,4434776.1748,0.24727221
475634.9838,4435976.1748,0.05673121
475634.9838,4437126.1748,0.019565446
475634.9838,4437576.1748,0.025311131
475634.9838,4438476.1748,0.01286529
475634.9838,4439776.1748,0.002755611
475634.9838,4441226.1748,0.00440979
475684.9838,4430426.1748,0.5256289
475684.9838,4430626.1748,0.28073812
475684.9838,4433926.1748,0.22775303
475684.9838,4435326.1748,0.17434332
475684.9838,4436676.1748,0.10089623
475684.9838,4436876.1748,0.039206866
475684.9838,4440226.1748,0.0031587973
475734.9838,4430026.1748,0.59321177
475734.9838,4432076.1748,0.18076363
475784.9838,4429976.1748,0.6055402
475784.9838,4432726.1748,0.40204272
475784.9838,4432976.1748,0.50441366
475784.9838,4433376.1748,0.40493387
475784.9838,4433476.1748,0.4737764
475784.9838,4438076.1748,0.0301898
475784.9838,4441576.1748,0.0072926534
475834.9838,4430276.1748,0.17215008
475834.9838,4430826.1748,0.14203897
475834.9838,4430926.1748,0.057642125
475834.9838,4433326.1748,0.38107753
475834.9838,4441226.1748,0.0010791793
475834.9838,4441276.1748,0.0019511317
475884.9838,4431276.1748,0.13726072
475884.9838,4432676.1748,0.35468256
475884.9838,4434776.1748,0.3610964
475884.9838,4436376.1748,0.08721462
475884.9838,4439476.1748,6.112774E-4
475934.9838,4433176.1748,0.29986846
475934.9838,4434126.1748,0.4069132
475934.9838,4435176.1748,0.1900648
475934.9838,4435776.1748,0.029802205
475934.9838,4435876.1748,0.017571839
475934.9838,4437476.1748,0.0328161
475934.9838,4438876.1748,0.002471147
475934.9838,4439576.1748,6.659945E-4
475984.9838,4436326.1748,0.12974945
475984.9838,4441576.1748,0.008342179
476034.9838,4431326.1748,0.17401004
476034.9838,4437326.1748,0.05276889
476034.9838,4438976.1748,0.0017375479
476034.9838,4440176.1748,0.001350726
476034.9838,4440276.1748,0.0019294863
476084.9838,4431126.1748,0.13227367
476084.9838,4431876.1748,0.5918459
476084.9838,4432326.1748,0.0723241
476084.9838,4432426.1748,0.026002552
476084.9838,4433476.1748,0.41281077
476084.9838,4437576.1748,0.025206713
476084.9838,4438476.1748,0.0113927005
476084.9838,4440026.1748,0.0017969267
476084.9838,4440176.1748,0.0021478592
476134.9838,4430026.1748,0.30987623
