background,x,y,bkd,clay,sand,silt,soc,twi,tpi,fla,rivers,roads,green,slope,BIO3,BIO4,BIO06,aspect
background,473784.9838,4437726.1748,0.798180460929871,14.7540082931519,18.6947841644287,26.0812873840332,15.8562431335449,6.98923254013062,0.103303030133247,972.465515136719,651.840637207031,131.502182006836,0.102791249752045,4.30336570739746,37.4642562866211,565.431396484375,5.76271963119507,295.394470214844
background,473834.9838,4433576.1748,1.27453303337097,27.966402053833,38.0081825256348,34.0254173278809,22.7707996368408,7.48113775253296,0.399435460567474,3539.60083007812,262.670043945312,153.972244262695,0.0910097435116768,11.6140604019165,38.6810264587402,560.531921386719,5.64505767822266,285.420471191406
background,473884.9838,4435676.1748,1.30503487586975,24.3827991485596,38.2787132263184,37.3376693725586,25.7903003692627,7.41158294677734,0.241917192935944,434.279113769531,209.549179077148,7.45001220703125,0.0942305102944374,1.19518566131592,37.7701568603516,559.611389160156,5.6330132484436,248.516250610352
background,473884.9838,4435726.1748,1.30135440826416,24.3659934997559,38.2579154968262,37.3744735717773,25.9255084991455,7.27341508865356,0.16832047700882,671.609191894531,253.246368408203,46.958797454834,0.0946488231420517,2.04475736618042,37.9315490722656,561.251770019531,5.62985944747925,261.195831298828
background,473884.9838,4435876.1748,1.29049515724182,24.3049774169922,38.1862335205078,37.5048332214355,26.3180866241455,7.34297227859497,0.741208851337433,732.534362792969,172.457809448242,115.097068786621,0.0906891077756882,2.50133895874023,38.123649597168,562.98486328125,5.62840604782104,313.700897216797
background,473984.9838,4433926.1748,1.26489114761353,26.8154430389404,39.0028800964355,34.1931419372559,22.213830947876,7.59442758560181,-1.49296545982361,1400.79724121094,64.5090255737305,284.268890380859,0.0833627730607986,12.9202909469604,38.6199989318848,560.391418457031,5.6424708366394,309.158599853516
background,473984.9838,4437626.1748,1.33094036579132,24.4316864013672,32.1556205749512,43.1932907104492,26.999454498291,7.0284218788147,0.346028417348862,1375.13037109375,439.024627685547,132.238174438477,0.0966270864009857,5.0272650718689,37.3177909851074,566.118835449219,5.75841426849365,236.651824951172
background,473984.9838,4439226.1748,1.33177006244659,28.5704574584961,32.4860763549805,38.9029960632324,27.4555149078369,8.30447196960449,0.401708364486694,299.309539794922,317.319122314453,474.951080322266,0.117212057113647,1.24909842014313,37.1191596984863,567.796997070312,5.29605722427368,272.112213134766
background,474034.9838,4434576.1748,1.31109488010406,24.8886108398438,39.5309219360352,35.5,19.1175403594971,7.74018621444702,-0.012802392244339,1946.1630859375,276.379608154297,215.315078735352,0.104105763137341,3.51102161407471,38.222038269043,561.242004394531,5.64751815795898,232.703048706055
background,474034.9838,4437076.1748,1.33029913902283,26.0169620513916,31.89453125,42.088508605957,24.2592258453369,8.23944854736328,-0.00452446192502975,4915.82958984375,75.7896041870117,63.3419990539551,0.106067076325417,6.17137241363525,37.616138458252,564.80859375,5.57321929931641,177.279251098633
background,474084.9838,4434276.1748,1.2618168592453,25.2114944458008,39.5588874816895,35.2359428405762,20.3032875061035,7.96630096435547,0.0779624730348587,1519.91174316406,87.6333694458008,121.783988952637,0.105353631079197,2.16322803497314,38.3213195800781,561.065734863281,5.65592336654663,215.595977783203
background,474084.9838,4436676.1748,1.31872701644897,25.0916557312012,35.2555465698242,39.6527938842773,22.5125675201416,7.25015354156494,0.495389819145203,1146.51171875,213.665512084961,10.9540548324585,0.107469171285629,3.80606412887573,37.8049583435059,564.272033691406,5.56984853744507,244.085083007812
background,474134.9838,4434226.1748,1.25436079502106,25.3001461029053,39.6486053466797,35.0472526550293,20.4747714996338,8.21448612213135,0.459494650363922,1717.03564453125,53.6499671936035,181.626953125,0.111792966723442,2.45875859260559,38.3485527038574,561.105895996094,5.65223169326782,192.24494934082
background,474134.9838,4435776.1748,1.29169464111328,24.6220874786377,38.1304893493652,37.1893653869629,26.9548034667969,8.61795330047607,-0.249787420034409,2980.73071289062,309.762817382812,112.790992736816,0.0955357551574707,2.59449505805969,38.0815353393555,563.430847167969,5.61847448348999,240.983123779297
